Source,Folio,Seq,Incipit,Text,Feast,Occasion,Genre,Position,"Cantus ID",Mode,Diff,"Diff db"
"P-BRs Ms. 034",373,005,"Sacerdotes dei benedicite dominum sancti et","Sacerdotes dei benedicite dominum sancti et humiles corde laudate deum","Comm. unius Confessoris Pontificis",MI,In,,g01280,6,,
"P-BRs Ms. 034",373,006,"Benedicite sacerdotes domini domino benedicite servi","Benedicite sacerdotes domini domino benedicite servi domini domino","Comm. unius Confessoris Pontificis",MI,InV,,g02351,6,,
"P-BRs Ms. 034",374,001,"Inveni David servum meum oleo sancto","Inveni David servum meum oleo sancto unxi eum manus enim mea auxiliabitur ei et brachium meum confortabit eum","Comm. unius Confessoris Pontificis",MI,Gr,,g01272,1,,
"P-BRs Ms. 034",374,002,"Nihil proficiet inimicus in eo et","Nihil proficiet inimicus in eo et filius iniquitatis non nocebit ei","Comm. unius Confessoris Pontificis",MI,GrV,,g01272a,1,,
"P-BRs Ms. 034",375,001,"Alleluia Elegit te dominus sibi in","Alleluia Elegit te dominus sibi in sacerdotem magnum in populo suo","Comm. unius Confessoris Pontificis",MI,Al,,g02352,2,,
"P-BRs Ms. 034",375,002,"Beatus vir *","Beatus vir *","Comm. unius Confessoris Pontificis",MI,Tc,,g01285,*,,
"P-BRs Ms. 034",375,003,"Inveni David *","Inveni David *","Comm. unius Confessoris Pontificis",MI,Of,,g01288,*,,
"P-BRs Ms. 034",375,004,"Semel juravi in sancto meo semen","Semel juravi in sancto meo semen ejus in aeternum manebit et sedes ejus sicut sol in conspectu meo et sicut luna perfecta in aeternum et testis in caelo fidelis","Comm. unius Confessoris Pontificis",MI,Cm,,g01279,4,,
"P-BRs Ms. 034",375,005,"In medio ecclesiae *","In medio ecclesiae *","Comm. unius Doctoris",MI,In,,g01342,*,,
"P-BRs Ms. 034",375,006,"Inveni David *","Inveni David *","Comm. unius Doctoris",MI,Gr,,g01272,*,,
"P-BRs Ms. 034",375,007,"Alleluia Justus germinabit sicut lilium et","Alleluia Justus germinabit sicut lilium et florebit in aeternum ante dominum","Comm. unius Doctoris",MI,Al,,g01346,1,,
